NAME,SYMBOL,SLUG,N MARKET PAIRS,DATE ADDED,TAGS,MAX SUPPLY,CIRC SUPPLY,TOTAL SUPPLY,CMC RANK,LAST UPDATED,EXCH CUR,PRICE,VOLUME 24h,% CHANGE 1h,% CHANGE 24h,% CHANGE 7d,% CHANGE 30d,% CHANGE 60d,% CHANGE 90d,MARKET CAP
SocialCoin,SOCC,socialcoin-socc,3,2017-07-02T00:00:00.000Z,mineable,75000000,10518425,10678425,2469,2021-05-11T12:51:09.000Z,GBP,0.000516582,1.00E-08,-34.1564506,-37.08225893,-42.70841802,-1.45547346,31.46300281,68.03993897,5433.629676
BriaCoin,BRIA,briacoin,1,2017-06-29T00:00:00.000Z,,3000000,743430.77,743430.77,2470,2021-05-11T12:51:09.000Z,GBP,0.00706704,1.00E-08,-0.1064795,-0.46038466,-2.39343022,,,,5253.854989
Wild Beast Block,WBB,wild-beast-block,1,2015-02-28T00:00:00.000Z,"mineable,pow,scrypt",,181919.2436,181919.2436,2471,2021-05-11T12:52:06.000Z,GBP,0.028137962,1.00E-08,-0.44362048,-4.79901065,9.85509586,-54.96942712,-19.00931486,143.7119546,5118.83677
Iconic,ICON,iconic,2,2017-02-08T00:00:00.000Z,pos,,592893.53,592893.53,2472,2021-05-11T12:52:07.000Z,GBP,0.007082955,0.018611566,-0.1064795,-47.88476368,-24.30730051,22.17998219,72.72935999,210.4293243,4199.438177
MNPCoin,MNP,mnpcoin,1,2018-09-25T00:00:00.000Z,mineable,,2191996.009,4237566.751,2473,2021-05-11T12:52:05.000Z,GBP,0.001875864,0.013105494,-0.44362048,-4.79901065,77.33537654,48.07472266,56.58199127,94.62169222,4111.8867
Cannation,CNNC,cannation,1,2017-05-13T00:00:00.000Z,mineable,,2476892.719,2476892.719,2474,2021-05-11T12:52:08.000Z,GBP,0.00156322,1.00E-08,-0.44362048,-4.79901065,-51.97166885,-53.72664917,-21.70900436,143.6769171,3871.928517
Abulaba,AAA,abulaba,2,2018-09-14T00:00:00.000Z,,,15090818.1,397000000,2475,2021-05-11T12:52:04.000Z,GBP,0.000251355,1.00E-08,-0.58205478,114.3825122,150.3910358,-10.0193597,18.44391411,45.59103684,3793.150107
Mirai,MRI,mirai,1,2018-09-07T00:00:00.000Z,"mineable,masternodes",16000000,3432003.242,3442976.876,2476,2021-05-11T12:52:04.000Z,GBP,0.001094254,1.573756219,-0.44362048,26.93465246,-0.38568355,-13.62307845,2.31034684,-12.14387383,3755.483548
Crystal Token,CYL,crystal-token,3,2018-10-31T00:00:00.000Z,,,564377.3953,27834890,2477,2021-05-11T12:52:07.000Z,GBP,0.005878146,173711.6972,-1.05950235,-0.21717582,-33.21995244,-16.61969944,-8.66770588,49.57268283,3317.492692
BitMoney,BIT,bitmoney,2,2018-10-19T00:00:00.000Z,mineable,70000000000,82497697.96,87904512.72,2478,2021-05-11T12:52:06.000Z,GBP,3.94E-05,11.12411709,-0.06256756,-52.29890617,-51.59652,-90.67258111,-1.36162795,22.79620118,3249.395007
Storeum,STO,storeum,1,2019-07-24T00:00:00.000Z,,,278998364,279000000,2479,2021-05-11T12:52:03.000Z,GBP,1.12E-05,17.87668286,-1.06250404,-36.3631986,-25.68296399,-7.75833055,-10.80662205,-8.76581584,3122.121245
LiteCoin Ultra,LTCU,litecoin-ultra,1,2017-08-30T00:00:00.000Z,"mineable,marketplace",,1031300,8531300,2480,2021-05-11T12:51:16.000Z,GBP,0.00273488,3.25E-07,-0.40348887,-4.82913579,-32.73233161,-46.01991561,-51.08411056,-46.70272944,2820.481626
KZ Cash,KZC,kz-cash,2,2018-01-12T00:00:00.000Z,mineable,18900000,1563996.493,3443117.78,2481,2021-05-11T12:52:04.000Z,GBP,0.00168047,0.520206242,-0.44554415,-4.79968326,-17.35473913,-14.80284329,-25.77114309,54.09056752,2628.248914
WXCOINS,WXC,wxcoins,2,2018-10-01T00:00:00.000Z,mineable,31000000,31000000,31000000,2482,2021-05-11T12:52:05.000Z,GBP,7.82E-05,11.50768692,-0.44362048,90.4019787,-76.69716706,85.09340332,291.4549781,387.3538342,2422.991176
Save and Gain,SANDG,save-and-gain,2,2015-10-12T00:00:00.000Z,"mineable,pow,sha-256",,3064800.039,3064800.039,2483,2021-05-11T12:52:03.000Z,GBP,0.000768483,1.00E-08,-0.74874111,-4.67424486,88.90606305,-61.59979769,-90.17186982,-87.11651631,2355.247341
Project-X,NANOX,project-x,1,2017-05-30T00:00:00.000Z,,,0.078264,1.130085,2484,2021-05-11T12:51:08.000Z,GBP,26489.26127,2.860840215,-0.40348887,19.44768481,-9.50898325,-76.08576396,96.25002998,125.6384015,2073.155544
Helpico,HELP,helpico,1,2019-08-08T00:00:00.000Z,,,23627.51364,5008576.246,2485,2021-05-11T12:52:03.000Z,GBP,0.07386215,9.87212582,29.76659124,69.74516025,6.7924069,2.28845973,249.3297242,17.29432343,1745.178965
Qbic,QBIC,qbic,2,2018-01-24T00:00:00.000Z,mineable,52500000,4684175.678,5426067.677,2486,2021-05-11T12:52:06.000Z,GBP,0.000372079,1.00E-08,-0.28381825,-2.78703174,-3.21357081,-4.05781927,-1.13338271,10.39124994,1742.881126
PonziCoin,PONZI,ponzicoin,1,2016-05-18T00:00:00.000Z,mineable,,861099.0018,861099.0018,2487,2021-05-11T12:52:04.000Z,GBP,0.001954025,1.00E-08,-0.44362048,-4.79901065,-19.95278143,131.3667542,63.10624091,204.0963941,1682.609099
HEIDI,HDI,heidi,1,2020-07-01T00:00:00.000Z,,12910000,903700,12910000,2488,2021-05-11T12:51:08.000Z,GBP,0.001648241,1.00E-08,-1.00316366,-4.63742039,228.384242,210.543019,-32.28208847,-4.01870661,1489.515627
Argus,ARGUS,argus,1,2017-02-26T00:00:00.000Z,"mineable,hybrid-pow-pos,scrypt",,1148324.048,5194373.048,2489,2021-05-11T12:52:07.000Z,GBP,0.001172415,1.00E-08,-0.44362048,-4.79901065,-3.94333771,-7.45329834,46.79561682,82.45783645,1346.312436
Stakinglab,LABX,stakinglab,1,2019-02-25T00:00:00.000Z,,,405158.051,4042772.322,2490,2021-05-11T12:51:09.000Z,GBP,0.003125577,6.488769063,-0.40348887,-4.82913579,-3.90333086,-7.51341521,30.44896564,143.6446654,1266.35269
Benz,BENZ,benz,2,2018-10-04T00:00:00.000Z,,,5958968.5,6680472.88,2491,2021-05-11T12:52:05.000Z,GBP,0.00019223,1907.945742,-0.96556028,26.43252224,-4.18542754,26.73970274,-0.98197702,4.34987776,1145.492884
Innovative Bioresearch Classic,INNBCL,innovative-bioresearch-classic,2,2019-03-13T00:00:00.000Z,,5000000000,3570727162,5000000000,2492,2021-05-11T12:51:08.000Z,GBP,2.62E-07,1854.833048,-2.14764905,-14.31654226,-23.60483874,-48.86849078,196.0437396,896.7663003,933.8539105
Concoin,CONX,concoin,1,2017-04-17T00:00:00.000Z,mineable,,744265.7114,1595265.711,2493,2021-05-11T12:52:05.000Z,GBP,0.00078161,1.00E-08,-0.44362048,-4.79901065,-3.87679112,-7.43715575,-2.13625545,-18.76268179,581.7255648
Flit Token,FLT,flit-token,3,2020-01-20T00:00:00.000Z,,15000000000,3350000000,15000000000,2494,2021-05-11T12:51:10.000Z,GBP,1.70E-07,1.00E-08,-0.40671976,-1.19703422,-2.27129409,-1.78276693,-7.44661028,-70.3343546,569.6564671
Money Plant Token,MPT,money-plant-token,8,2020-09-11T00:00:00.000Z,,1E+12,1288768,1E+12,2495,2021-05-11T12:51:08.000Z,GBP,0.000395828,16.07639867,-0.08482465,-0.44497332,-10.6029687,-27.67956447,-3.49675953,-33.55874266,510.1303908
